country,nameplate_gw,note
FR,63.0,57 reactors ~63 GW net; stable to 2035 (EPR2 only ~2038)
GB,6.5,Sizewell B + Hinkley Point C (~3.2 GW ~2030); AGRs retiring by ~2030
SE,6.9,6 reactors; stable
ES,3.1,phaseout 2027-2035 (Almaraz first); ~3 GW remaining mid-decade
BE,2.1,phaseout - only Doel 4 + Tihange 3 retained beyond 2025
FI,4.4,incl. Olkiluoto 3; stable
CZ,4.0,Dukovany + Temelin; new build only post-2036
CH,3.0,no new build - existing units run to ~2030s
BG,2.0,Kozloduy 5 & 6
SK,2.6,Bohunice + Mochovce incl. units 3 & 4
HU,1.9,Paks; Paks II expected post-2035
RO,1.3,Cernavoda 1 & 2; units 3 & 4 late 2030s
SI,0.7,Krsko
