cluster,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
opt,,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1
planning_horizon,,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
tyndp_scenario,,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free
wiggle,,0,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,4250,4500
component,carrier,,,,,,,,,,,,,,,,,,,
Generator,Offshore Wind (AC),465272124.09993,444202348.14518,420542155.00654,383955470.98879,355869033.92261,346466897.95911,324925470.14351,314120464.28085,282592006.21011,287802373.25507,265229621.35441,256973138.64526,232478584.69801,229631703.50871,234368402.26978,234508822.27024,233910053.50679,233820359.53669,226910973.06794
Generator,Offshore Wind (DC),847538455.89107,797633213.71629,747950263.95411,697876615.284,627292237.98491,561185132.27624,536844399.74772,492235045.98572,470549476.51853,444268604.61585,411743278.75001,372678041.34151,299036121.3213,207433466.26464,152551563.27281,124611897.92245,99256191.46215,78338807.8515,28520205.68326
Generator,Offshore Wind (Floating),1094.33822,1260.78048,1022.76545,1208.97011,1411.86559,1202.89191,1197.53348,1166.36342,1126.22335,1086.46315,965.66472,897.85671,937.42745,903.74626,968.04169,762.69092,762.55071,897.91037,873.31425
Generator,Onshore Wind,997259112.0989,950362542.59071,870474023.63884,824069033.00198,777108187.96972,684940506.41568,673176978.2399,638839933.04532,614318774.84419,609593999.57993,601304855.04184,594686729.12709,619356974.24865,649948292.32636,656641481.91415,639807094.0858,619828162.04569,602119529.51487,577407880.95812
Generator,Run of River,161231307.59371,161166880.26459,161225883.70017,161514154.21039,161649793.37691,161720101.62796,161871555.65788,162016035.49257,162078583.63313,162098714.85939,162117421.64342,162183511.23285,162247706.29787,162324479.09247,162377329.70048,162413585.72997,162444729.49959,162449886.12966,162467852.31949
Generator,Solar,150672715.46939,124363268.42393,128649848.12168,152155381.79552,130570415.29835,152672646.84814,134481484.57969,140850572.46295,153713304.71946,153510251.13657,142790184.25455,153775402.42758,152840167.7687,152824119.57317,154165987.93321,155312272.37874,154685703.72085,155281788.69484,155998525.78174
Generator,co2-ets,-1626871497.53285,-1600625982.95664,-1637790226.47569,-1683223533.40456,-1724752160.61742,-1753524933.14403,-1757767481.00359,-1802565196.6668,-1849104732.48008,-1897417142.54151,-1944042905.69882,-1991148461.62173,-2034097183.84236,-2071339049.78353,-2110237883.85134,-2156204700.43799,-2205411427.98365,-2255617370.1115,-2308436880.65601
Generator,coal,646122838.97564,523330511.96154,481660835.11131,472764692.52589,499468111.27068,438263400.04973,304665948.3702,297924515.68647,296446114.11401,297316431.68116,297428949.69854,297900209.29359,301861381.73494,305277757.97165,305508515.0965,304104587.81376,302433938.45974,302339825.44514,303143914.89081
Generator,forest residues,228387968.86672,228387969.79425,228387969.17925,228387970.06599,228387971.43478,228387968.48187,228387970.45172,228387968.76425,228387969.12295,228387967.39364,228387966.75906,228387966.41105,228387964.86654,228387963.62882,228387959.63724,228387961.2116,228387961.37943,228387958.32135,228387958.95936
Generator,gas,,250000001.547,500000000.98704,750000001.46972,1000000002.98192,1250000001.2887,1500000001.85135,1750000001.58911,2000000001.52338,2250000001.58379,2500000001.02075,2750000000.8941,3000000000.82485,3250000000.57207,3500000000.90774,3750000000.43533,4000000000.61651,4250000000.84174,4500000000.97984
Generator,industry wood,221622651.90146,221622653.37947,221622652.49788,221622653.15674,221622655.55143,221622652.58148,221622653.72093,221622653.10407,221622653.0363,221622652.83877,221622651.9395,221622651.8082,221622651.44778,221622651.00134,221622650.90772,221622650.58331,221622650.82413,221622650.85114,221622651.1452
Generator,landscape care,24668207.32107,24668208.92439,24668207.95929,24668208.69392,24668211.11558,24668208.29594,24668209.46023,24668208.81572,24668208.78906,24668208.56445,24668207.56033,24668207.33213,24668207.00946,24668206.66163,24668206.59405,24668206.10455,24668206.47513,24668206.47624,24668206.89595
Generator,lignite,124402610.24319,42825405.36567,41408174.97073,37443847.66616,951630.8917,60359.6433,3545.71782,47786.87302,46897.64139,17258.32042,56712.50765,125058.95776,82154.2355,171335.92277,191517.64007,130667.60675,86456.37816,75757.00483,180475.16114
Generator,manure and slurry,111573624.14876,111573625.77668,111573624.69439,111573625.36069,111573627.78283,111573624.63348,111573625.25676,111573622.87395,105906578.43137,14057.95721,4761.55216,3244.17454,2551.71217,1787.70892,2103.15557,1527.86421,1525.10661,1861.78817,1793.46572
Generator,municipal solid waste,54365832.23998,54365833.97096,54365832.91263,54365833.8224,54365836.69328,54365833.48515,54365834.51287,54365834.08411,54365833.91212,54365834.03112,54365832.96811,54365832.72557,54365832.61614,54365832.12618,54365832.64061,54365831.88203,54365832.18259,54365832.77512,54365833.08777
Generator,oil primary,5298823839.13964,5292081665.83023,5298675586.76164,5297653213.26383,5286089283.67623,5286060778.42765,5285661013.95288,5283202337.30214,5276177386.77953,5273974662.52448,5264344169.6342,5259462804.86604,5240919247.18958,5210464551.00212,5165457024.73151,5142993259.93657,5132135143.06225,5123784605.73865,5116711027.51626
Generator,rural heat vent,-9319.34927,-7981.61867,-7955.03659,-5316.33696,-5297.05487,-3812.57701,-3762.35931,-5592.53391,-4464.92099,-4449.47961,-4875.35515,-4414.73806,-3073.96597,-1871.26434,-1737.85065,-1069.86491,-875.00253,-732.72189,-455.21327
Generator,rural solar thermal,340.77326,440.00134,503.90155,511.72882,543.571,494.63996,486.4108,466.14589,465.51246,439.01145,451.47653,420.15773,445.62826,469.86513,551.74363,453.74521,449.51933,512.04714,565.50421
Generator,sewage sludge,3050468.27154,3050469.86727,3050468.81773,3050469.49836,3050472.11168,3050468.98523,3050469.8609,3050467.4127,8219.41873,5994.81183,3557.15845,2342.44246,1976.89391,1390.85454,1580.53131,1061.02666,1194.81663,1309.22909,1073.27163
Generator,solar-hsat,1349617965.87812,1264834382.30001,1173958371.32442,1147680402.90952,1141115971.7244,1098043739.80225,1084908836.72946,1019595527.65855,954860846.48865,911091513.34443,848937519.98091,810404983.70699,774992511.55491,741701925.10759,716001645.18675,686591483.0348,652440777.63786,611197244.38573,559994538.11632
Generator,solid biomass,301669284.1447,291740769.13393,270454354.39727,216647643.6559,183783708.95327,160902017.16577,117309127.79493,73089300.35256,42161563.62173,30279145.72079,24208094.62413,24250352.69704,24270957.60042,24269049.69597,24256082.21264,23843254.77253,23731755.43504,23499534.68577,23481287.13023
Generator,straw,100992652.31413,100992653.95068,100992652.8778,100992653.59105,100992656.12472,100992653.01071,100992653.82017,100992652.7562,100992651.85248,100992650.65606,100992642.44023,15415.28439,4974.27724,2831.69034,3317.49357,2432.54271,2290.41733,2648.73308,2416.31123
Generator,unsustainable biogas,130572136.80761,130572138.36585,130572137.41278,130572138.23148,130572140.81447,130572137.92657,130572138.85198,130572138.46691,130572138.31197,130572138.41933,130572137.46288,130572137.24468,130572137.1462,130572136.70534,130572137.16814,130572136.48553,130572136.75606,130572137.28918,130572137.57047
Generator,unsustainable bioliquids,126827773.51146,126827774.20823,126827773.78206,126827774.14814,126827775.30312,126827774.0118,126827774.4256,126827774.25342,126827774.18413,126827774.23214,126827773.80447,126827773.70689,126827773.66286,126827773.46573,126827773.67267,126827773.36744,126827773.48841,126827773.7268,126827773.85257
Generator,unsustainable solid biomass,796331253.98329,796331257.42277,796331255.36663,796331256.85866,796331262.70247,796331256.46089,796331258.43745,796331257.51438,796331257.20535,796331257.63479,796331255.45376,796331254.93239,796331254.72626,796331253.76298,796331254.73486,796331253.33981,796331253.88323,796331255.03243,796331255.62185
Generator,uranium,1915740707.22045,1915758459.24085,1915658229.25191,1916698917.48493,1917213637.1484,1917475615.97388,1917973721.29442,1918828604.1418,1919348056.71298,1919624188.61868,1920100085.56385,1920374848.70543,1920916703.78869,1921414643.67056,1921612370.33171,1921749104.47086,1922031967.06892,1922298127.00269,1922586937.38458
Generator,urban central heat vent,-55607316.28135,-46790582.42387,-36777693.8749,-23284761.59158,-30569596.18741,-29096197.75589,-28841874.95696,-22372145.89342,-17918213.07785,-15613657.2309,-8586953.40962,-7096705.61156,-4234425.50875,-3373560.64427,-2447794.89022,-1502182.57831,-636431.70377,-294144.62744,-325290.86699
Generator,urban central solar thermal,1078.99647,1370.15923,1370.22343,1911.87763,2455.35514,2106.80841,1993.40676,1978.96638,2059.94911,2334.64184,2214.23979,1790.42827,1667.64142,1408.32912,1548.46315,1207.90563,1249.09042,1692.23325,1535.12308
Generator,urban decentral heat vent,-567939.66864,-633129.69166,-396407.67421,-222425.78171,-159680.46275,-108960.03217,-98565.57392,-84686.07902,-73960.11369,-74590.85028,-64271.51737,-53201.45705,-21784.85175,-51514.22424,-69024.63278,-59003.56401,-46081.7235,-31107.21022,-27356.16534
Generator,urban decentral solar thermal,4229189.07152,6784178.56751,3226970.54051,1708219.96588,534289.06715,2301737.53832,608.02875,446.54748,405.21118,370.72204,310.32567,286.81163,287.62498,282.51187,295.37608,235.73284,229.40952,267.08724,264.112
Line,AC,-49543739.17027,-47827560.001,-48056685.87954,-46334667.33538,-45197050.33369,-43899899.2466,-41939161.71823,-39059755.33652,-36641583.9681,-35676502.17477,-33966069.14744,-32191580.18093,-29434691.0254,-26996343.73252,-26069665.99875,-25046822.77964,-24228990.2447,-23615542.76621,-22740488.69717
Link,BEV charger,-33483415.40909,-33483415.49543,-33483415.44262,-33483415.48798,-33483415.63109,-33483415.47109,-33483415.52236,-33483415.50103,-33483415.49244,-33483415.49839,-33483415.4454,-33483415.43331,-33483415.42785,-33483415.40343,-33483415.42907,-33483415.39125,-33483415.40624,-33483415.43577,-33483415.45136
Link,BOF,4227348.36027,4227346.30934,4227346.85766,4227343.95141,4227337.23916,4227339.19377,4227337.30092,4227334.74347,4227333.79785,4227330.89039,4227331.85123,4227332.22187,4227324.94011,4227325.09609,4227312.94165,4227314.54064,4227309.6105,4227278.64231,4227232.9951
Link,Combined-Cycle Gas,-749104.97063,-1287834.78709,-2316920.75923,-4185527.8165,-14708143.34031,-30121877.4294,-64802999.58967,-90219461.54471,-115894699.53075,-135227719.86551,-176472309.13669,-200425348.28193,-238503174.29128,-272402396.00462,-288016267.53877,-296648751.70763,-303202803.13837,-309385642.94129,-349985292.66223
Link,DC,-6046294.67455,-6001341.43315,-6126656.66512,-6114199.25385,-6095855.72061,-5992186.16196,-5956925.72918,-5682063.78041,-5798219.16112,-5758503.13138,-5825528.82041,-5797270.57394,-5810205.01204,-5619297.04631,-5493662.29602,-5248874.31711,-5086588.21955,-5123919.58739,-5067159.66129
Link,EAF,-78.97305,-104.88157,-97.95493,-134.66845,-219.46158,-194.76977,-218.6814,-250.98865,-262.93425,-299.66295,-287.52512,-282.84298,-374.83049,-372.86001,-526.40218,-506.20277,-568.48333,-959.69202,-1536.33485
Link,H2 DRI,-142.99176,-181.83035,-156.29302,-191.13905,-298.0213,-256.33706,-283.17944,-310.09593,-316.40575,-347.37012,-320.21768,-303.4177,-367.6344,-324.45409,-412.01641,-353.22569,-372.21823,-524.60114,-658.75471
Link,H2 Electrolysis,-228373299.79603,-165015584.99978,-99625281.5561,-84249537.74746,-55296543.1129,-3965978.69277,-2860.23631,-1035.14198,-837.45112,-752.26984,-630.44665,-542.78256,-546.2118,-515.64803,-551.09141,-438.94818,-437.18157,-534.10518,-543.25318
Link,HVC to air,-674613406.21038,-674381612.05725,-673512566.12082,-674612036.06547,-674611825.86105,-674612822.1513,-674613172.26089,-674613689.6503,-674613999.67995,-674614156.22643,-674614601.50362,-674614907.37834,-674614862.29508,-674615169.6018,-674615034.97688,-674615337.15426,-674615334.06641,-674615107.52597,-674615087.39184
Link,Haber-Bosch,-14321919.61119,-14321878.69167,-14321820.51169,-14321826.76681,-14321847.8554,-14321829.37975,-14321839.37645,-14321851.81952,-14321861.35189,-14321857.28497,-14321850.72356,-14321848.2347,-14321869.39436,-14321867.68484,-14321894.21772,-14321854.69398,-14321848.7378,-14321900.13711,-14321912.44382
Link,OCGT methanol,-125.76932,-157.11771,-135.86606,-152.10651,-177.41501,-162.8507,-183.5721,-203.15512,-221.49283,-217.04287,-211.97967,-210.99061,-244.08037,-265.11623,-282.84714,-236.25778,-242.05621,-299.74694,-313.71152
