cost,component,carrier,0
capital,Generator,Offshore Wind (AC),10586481277.41924
capital,Generator,Offshore Wind (DC),3563485753.86576
capital,Generator,Offshore Wind (Floating),114883.19617
capital,Generator,Onshore Wind,30150704013.33476
capital,Generator,Run of River,14731877853.69473
capital,Generator,Solar,6359486599.02622
capital,Generator,rural solar thermal,37182.88661
capital,Generator,solar-hsat,21487750449.53457
capital,Generator,urban central solar thermal,74216.54108
capital,Generator,urban decentral solar thermal,30099.37989
capital,Line,AC,7417196279.15542
capital,Link,BOF,15784589005.29268
capital,Link,CO2 pipeline,25614574.59979
capital,Link,Combined-Cycle Gas,20531271233.79012
capital,Link,DC,1508484281.03494
capital,Link,EAF,151832.44488
capital,Link,H2 DRI,56269.53729
capital,Link,H2 Electrolysis,98970.7716
capital,Link,Haber-Bosch,1609262440.8699
capital,Link,OCGT methanol,64159.00233
capital,Link,Open-Cycle Gas,26504089.61328
capital,Link,SMR,1906707168.98212
capital,Link,Sabatier,44278.14261
capital,Link,ammonia cracker,75306.25009
capital,Link,battery charger,197417.0461
capital,Link,biogas to gas,3123137918.77365
capital,Link,biomass to liquid,6422696743.54169
capital,Link,biomass-to-methanol,135830.64149
capital,Link,coal,20296273522.96295
capital,Link,electricity distribution grid,27380403573.95734
capital,Link,gas DRI,148835.55147
capital,Link,gas pipeline,865535209.23276
capital,Link,gas pipeline new,523450014.83566
capital,Link,heat100-200 industry electric boiler steam,23258.89627
capital,Link,heat100-200 industry gas,249276737.54396
capital,Link,heat100-200 industry industrial heat pump high temperature,216513485.24142
capital,Link,heat100-200 industry solid biomass,147530.70146
capital,Link,heat200-500 industry gas,24319785.21853
capital,Link,heat200-500 industry hydrogen,8700.79003
capital,Link,heat200-500 industry solid biomass,50518.77429
capital,Link,heat<100 industry electric boiler steam,23093.24183
capital,Link,heat<100 industry gas,202696756.8106
capital,Link,heat<100 industry industrial heat pump medium temperature,37208558.87434
capital,Link,heat<100 industry solid biomass,147901.23203
capital,Link,heat>500 industry gas,65140968.45494
capital,Link,heat>500 industry hydrogen,8232.82052
capital,Link,home battery charger,286681.78967
capital,Link,lignite,17957014850.83307
capital,Link,methanolisation,754054210.54135
