component,carrier,bus_carrier,0
Generator,oil primary,oil primary,5132135143.06225
Link,oil refining,oil,4872633949.51962
Generator,gas,gas,4000000000.61651
Link,electricity distribution grid,low voltage,3438721137.44302
Link,land transport oil,land transport oil,2526143791.43905
Generator,uranium,uranium,1922031967.06892
Store,non-sequestered HVC,non-sequestered HVC,853719686.91572
Link,naphtha for industry,naphtha for industry,853719686.91556
Generator,unsustainable solid biomass,solid biomass,796331253.88323
Link,Combined-Cycle Gas,AC,792151467.65879
Link,kerosene for aviation,kerosene for aviation,743906976.62339
Link,urban decentral gas boiler,urban decentral heat,673500389.0981
Generator,solar-hsat,AC,652440777.63786
Link,land transport oil,co2,649471568.77898
Link,nuclear,AC,626582421.33371
Generator,Onshore Wind,AC,619828162.04569
Link,shipping oil,shipping oil,491652886.23285
Link,urban central gas boiler,urban central heat,463328549.44722
Link,solid biomass for industry,solid biomass for industry,346680000.00003
StorageUnit,Reservoir & Dam,AC,331441911.45441
Link,rural gas boiler,rural heat,315816074.87925
Link,heat>500 industry gas,heat>500 industry,310537322.73969
Generator,coal,coal,302433938.45974
Link,BEV charger,EV battery,301350738.65612
Link,urban decentral oil boiler,urban decentral heat,280470922.27767
Link,Combined-Cycle Gas,co2,270424121.718
Link,heat<100 industry gas,heat<100 industry,249223288.36872
Generator,Offshore Wind (AC),AC,233910053.50679
Link,HVC to air,co2,233468303.12084
Link,urban decentral biomass boiler,urban decentral heat,231437331.77556
Link,heat100-200 industry gas,heat100-200 industry,229003663.02195
Generator,forest residues,solid biomass,228387961.37943
Generator,industry wood,solid biomass,221622650.82413
Link,urban decentral air heat pump,urban decentral heat,211303169.85811
Link,kerosene for aviation,co2,191258483.68987
Link,SMR,Hydrogen Storage,186127461.99557
Link,urban decentral resistive heater,urban decentral heat,182465454.36246
Link,coal for industry,coal for industry,167203859.22266
Generator,Run of River,AC,162444729.49959
Link,rural biomass boiler,rural heat,160032098.7537
Link,rural oil boiler,rural heat,156115430.73011
Generator,Solar,AC,154685703.72085
Link,heat100-200 industry industrial heat pump high temperature,heat100-200 industry,152710997.50108
Link,biomass to liquid,oil,152482145.58458
Link,rural ground heat pump,rural heat,145927530.28955
Link,urban decentral gas boiler,co2,136074568.40962
Link,biogas to gas,gas,130577143.84406
Generator,unsustainable biogas,biogas,130572136.75606
Link,unsustainable bioliquids,oil,126827773.48841
Generator,unsustainable bioliquids,unsustainable bioliquids,126827773.48841
Link,shipping oil,co2,126403957.05047
Link,heat200-500 industry gas,heat200-500 industry,115679361.75397
Link,gas for industry,gas for industry,111420561.2169
Generator,Offshore Wind (DC),AC,99256191.46215
Link,urban central gas boiler,co2,88210627.68322
Link,Haber-Bosch,NH3,87300914.25677
Link,BOF,steel,83505711.05026
Link,urban decentral oil boiler,co2,80121193.46399
Link,methanolisation,methanol,75445551.50458
Link,shipping methanol,shipping methanol,75445455.68789
Link,oil refining,co2,66717756.85981
Link,urban central solid biomass CHP CC,urban central heat,66039276.20501
Link,rural gas boiler,co2,63807737.57764
Link,heat>500 industry gas,co2,61486389.90246
Link,heat<100 industry industrial heat pump medium temperature,heat<100 industry,56568043.41233
Link,coal for industry,co2,56197217.08474
Link,municipal solid waste,non-sequestered HVC,54365832.18259
Generator,municipal solid waste,municipal solid waste,54365832.18259
Link,heat<100 industry gas,co2,53060442.03979
Link,agriculture machinery oil,agriculture machinery oil,51423819.35443
Link,heat100-200 industry gas,co2,48755618.57887
Link,SMR,co2,48491101.94095
Link,rural resistive heater,rural heat,47932668.84425
Link,rural oil boiler,co2,44596974.7119
Link,steel emission,co2,40135158.77165
Link,BOF,steel emission,40134765.36211
Link,urban central solid biomass CHP CC,co2 stored,26434132.59665
Generator,landscape care,solid biomass,24668206.47513
Generator,solid biomass,solid biomass,23731755.43504
Link,heat200-500 industry gas,co2,22904513.62729
Link,gas for industry,co2,22061271.12095
Link,Haber-Bosch,urban central heat,20223123.0336
Link,shipping methanol,co2,18711206.48989
Link,urban central solid biomass CHP CC,AC,18387112.63002
Link,agriculture machinery oil,co2,13221063.95602
Link,urban central solid biomass CHP,urban central heat,12288568.96296
Link,urban central air heat pump,urban central heat,9749198.97866
Link,co2 sequestered,co2 sequestered,7722488.77502
Link,coal,AC,5630820.82693
Link,coal,co2,5316064.26947
Link,urban central gas CHP,urban central heat,5138354.68208
Link,urban central gas CHP,AC,5138354.68208
Link,urban central solid biomass CHP,AC,4022661.93221
Link,urban central resistive heater,urban central heat,3338903.60479
Link,urban central gas CHP,co2,2481449.33427
Link,methanolisation,urban central heat,1886202.12306
Link,Open-Cycle Gas,AC,199730.0997
Link,Open-Cycle Gas,co2,96455.02376
Generator,lignite,lignite,86456.37816
Link,lignite,co2,35179.10027
Link,lignite,AC,28530.60479
Link,home battery charger,home battery,22480.10087
Link,home battery discharger,low voltage,22025.92662
Link,battery charger,Battery Storage,20517.74728
Link,battery discharger,AC,20103.21696
Link,heat200-500 industry solid biomass,heat200-500 industry,18006.85901
Link,heat<100 industry solid biomass,heat<100 industry,16234.90121
Link,heat100-200 industry solid biomass,heat100-200 industry,12969.05424
Link,rural air heat pump,rural heat,3381.65162
Link,heat>500 industry hydrogen,heat>500 industry,2677.26039
Link,heat200-500 industry hydrogen,heat200-500 industry,2631.38703
Link,heat<100 industry electric boiler steam,heat<100 industry,2432.02378
Link,heat100-200 industry electric boiler steam,heat100-200 industry,2369.0363
Generator,straw,biogas,2290.41733
Link,Sabatier,gas,2096.86505
Link,solid biomass import,solid biomass,1536.29077
Store,solid biomass import,solid biomass import,1534.94384
Generator,manure and slurry,biogas,1525.10661
Link,waste CHP,urban central heat,1421.51505
Generator,urban central solar thermal,urban central heat,1249.09042
Generator,sewage sludge,biogas,1194.81663
Link,EAF,steel,888.94969
Link,H2 Electrolysis,Hydrogen Storage,837.20186
Generator,Offshore Wind (Floating),AC,762.55071
Link,gas DRI,hbi,714.71831
Link,ammonia cracker,Hydrogen Storage,627.05235
Link,biomass-to-methanol,methanol,613.46169
Link,waste CHP,co2,483.7815
Generator,rural solar thermal,rural heat,449.51933
Link,gas DRI,steel emission,393.40955
Link,waste CHP,AC,391.57888
Link,OCGT methanol,AC,290.18434
Link,oil,AC,266.22854
Generator,urban decentral solar thermal,urban decentral heat,229.40952
Link,oil,co2,195.56388
Link,OCGT methanol,co2,175.52614
Link,H2 DRI,hbi,174.75034
Link,Sabatier,urban central heat,96.45246
Link,H2 Electrolysis,urban central heat,72.24977
Link,solid biomass import,co2,56.33578
Store,home battery,home battery,0.01634
Store,Battery Storage,Battery Storage,0.01262
Store,EV battery,EV battery,-0.51098
Link,biomass-to-methanol,co2,-152.25918
Link,H2 DRI,AC,-179.99285
Link,H2 DRI,Hydrogen Storage,-366.97572
Link,Sabatier,co2 stored,-415.17928
Link,EAF,AC,-568.48333
Link,OCGT methanol,methanol,-707.76669
Link,oil,oil,-760.65298
Generator,rural heat vent,rural heat,-875.00253
Link,EAF,hbi,-888.94969
Link,ammonia cracker,NH3,-915.49644
Link,biomass-to-methanol,solid biomass,-1005.6749
Link,rural air heat pump,low voltage,-1330.27867
Link,H2 Electrolysis,AC,-1346.63321
