component,location,carrier,0
Generator,,co2-ets,1000000000.0
Generator,AL0 0,Offshore Wind (AC),0.01639
Generator,AL0 0,Offshore Wind (Floating),0.01075
Generator,AL0 0,Onshore Wind,234.00162
Generator,AL0 0,Run of River,48.2
Generator,AL0 0,Solar,294.50356
Generator,AL0 0,forest residues,435064.11971
Generator,AL0 0,industry wood,495433.59074
Generator,AL0 0,landscape care,73.99645
Generator,AL0 0,manure and slurry,165088.30118
Generator,AL0 0,municipal solid waste,135739.47211
Generator,AL0 0,rural heat vent,1.04306
Generator,AL0 0,rural solar thermal,0.08673
Generator,AL0 0,sewage sludge,2751.78087
Generator,AL0 0,solar-hsat,5687.75172
Generator,AL0 0,solid biomass,10000.0
Generator,AL0 0,straw,137150.35218
Generator,AL0 0,unsustainable solid biomass,1238151.0274
Generator,AL0 0,urban central heat vent,52.4672
Generator,AL0 0,urban central solar thermal,0.35857
Generator,AL0 0,urban decentral heat vent,1.02432
Generator,AL0 0,urban decentral solar thermal,0.08268
Generator,AT0 0,Onshore Wind,3235.00342
Generator,AT0 0,Run of River,4466.08037
Generator,AT0 0,Solar,385.50793
Generator,AT0 0,forest residues,9373456.5105
Generator,AT0 0,gas,1785.95671
Generator,AT0 0,industry wood,9944957.28282
Generator,AT0 0,landscape care,424784.44666
Generator,AT0 0,manure and slurry,451713.81205
Generator,AT0 0,municipal solid waste,718618.41571
Generator,AT0 0,rural solar thermal,0.03135
Generator,AT0 0,sewage sludge,293922.44542
Generator,AT0 0,solar-hsat,39138.0988
Generator,AT0 0,solid biomass,10000.0
Generator,AT0 0,straw,2029614.73277
Generator,AT0 0,unsustainable biogas,1646958.027
Generator,AT0 0,unsustainable bioliquids,3052205.112
Generator,AT0 0,unsustainable solid biomass,35833933.4266
Generator,AT0 0,urban central heat vent,2041.0708
Generator,AT0 0,urban central solar thermal,0.15938
Generator,AT0 0,urban decentral heat vent,1.0737
Generator,AT0 0,urban decentral solar thermal,0.04295
Generator,BA0 0,Offshore Wind (AC),0.00405
Generator,BA0 0,Offshore Wind (Floating),0.00239
Generator,BA0 0,Onshore Wind,435.00334
Generator,BA0 0,Solar,267.1048
Generator,BA0 0,forest residues,545313.02661
Generator,BA0 0,industry wood,1680033.06111
Generator,BA0 0,landscape care,161.28698
Generator,BA0 0,manure and slurry,147008.89194
Generator,BA0 0,municipal solid waste,10006.85621
Generator,BA0 0,rural heat vent,1.14312
Generator,BA0 0,rural solar thermal,0.0402
Generator,BA0 0,sewage sludge,6969.53812
Generator,BA0 0,solar-hsat,6906.47932
Generator,BA0 0,solid biomass,10000.0
Generator,BA0 0,straw,255052.24393
Generator,BA0 0,unsustainable biogas,12281.28
Generator,BA0 0,unsustainable solid biomass,11152636.4764
Generator,BA0 0,urban central heat vent,308.23482
Generator,BA0 0,urban central solar thermal,0.14269
Generator,BA0 0,urban decentral heat vent,0.99607
Generator,BA0 0,urban decentral solar thermal,0.04039
Generator,BE0 0,Offshore Wind (AC),2256.0
Generator,BE0 0,Offshore Wind (DC),866.40371
Generator,BE0 0,Offshore Wind (Floating),0.00419
Generator,BE0 0,Onshore Wind,14891.81013
Generator,BE0 0,Run of River,59.01534
Generator,BE0 0,Solar,484.10459
Generator,BE0 0,forest residues,2817482.2224
Generator,BE0 0,gas,39563.05095
Generator,BE0 0,industry wood,1493662.70842
Generator,BE0 0,landscape care,525076.98187
Generator,BE0 0,manure and slurry,3519005.63714
Generator,BE0 0,municipal solid waste,3185976.41612
Generator,BE0 0,rural solar thermal,0.00205
Generator,BE0 0,sewage sludge,1076284.90867
Generator,BE0 0,solar-hsat,15137.81062
Generator,BE0 0,solid biomass,10000.0
Generator,BE0 0,straw,691059.65944
Generator,BE0 0,unsustainable biogas,1777968.5814
Generator,BE0 0,unsustainable bioliquids,3496518.795
Generator,BE0 0,unsustainable solid biomass,9181122.598
Generator,BE0 0,urban central heat vent,2.46826
Generator,BE0 0,urban central solar thermal,0.06647
Generator,BE0 0,urban decentral heat vent,0.89337
Generator,BE0 0,urban decentral solar thermal,0.0196
Generator,BG0 0,Offshore Wind (AC),0.10283
Generator,BG0 0,Offshore Wind (DC),15.57692
Generator,BG0 0,Offshore Wind (Floating),0.01699
Generator,BG0 0,Onshore Wind,608.01011
Generator,BG0 0,Run of River,110.4
Generator,BG0 0,Solar,2405.10715
Generator,BG0 0,forest residues,4447961.97184
Generator,BG0 0,gas,17204.76303
Generator,BG0 0,industry wood,2519864.13001
Generator,BG0 0,landscape care,463921.59216
Generator,BG0 0,manure and slurry,559089.45559
Generator,BG0 0,municipal solid waste,276777.09945
Generator,BG0 0,rural solar thermal,0.03057
Generator,BG0 0,sewage sludge,6.5378
Generator,BG0 0,solar-hsat,13791.8414
Generator,BG0 0,solid biomass,10000.0
Generator,BG0 0,straw,2742382.4795
Generator,BG0 0,unsustainable biogas,391105.0374
Generator,BG0 0,unsustainable bioliquids,1265631.9588
Generator,BG0 0,unsustainable solid biomass,12448219.4068
Generator,BG0 0,urban central heat vent,650.11319
Generator,BG0 0,urban central solar thermal,0.09696
Generator,BG0 0,urban decentral heat vent,1.21729
Generator,BG0 0,urban decentral solar thermal,0.04145
Generator,CH0 0,Onshore Wind,55.00063
Generator,CH0 0,Run of River,4202.6208
Generator,CH0 0,Solar,96.8029
Generator,CH0 0,forest residues,11707439.90967
Generator,CH0 0,industry wood,9691541.87874
Generator,CH0 0,landscape care,1683.36325
Generator,CH0 0,manure and slurry,10651.58548
Generator,CH0 0,municipal solid waste,6674856.43688
Generator,CH0 0,rural solar thermal,0.0141
Generator,CH0 0,sewage sludge,207.44496
Generator,CH0 0,solar-hsat,42044.29004
Generator,CH0 0,solid biomass,10000.0
Generator,CH0 0,straw,4509.40046
Generator,CH0 0,unsustainable solid biomass,10000.0
Generator,CH0 0,urban central heat vent,1.33828
Generator,CH0 0,urban central solar thermal,0.10561
Generator,CH0 0,urban decentral heat vent,1.14209
Generator,CH0 0,urban decentral solar thermal,0.01513
Generator,CZ0 0,Onshore Wind,14212.58601
Generator,CZ0 0,Run of River,40.22638
Generator,CZ0 0,Solar,1301.61191
Generator,CZ0 0,forest residues,7109407.03972
Generator,CZ0 0,industry wood,6562103.61984
Generator,CZ0 0,landscape care,964214.56685
Generator,CZ0 0,manure and slurry,4122348.15137
Generator,CZ0 0,municipal solid waste,292113.49795
Generator,CZ0 0,rural solar thermal,0.0207
Generator,CZ0 0,sewage sludge,40325.76599
Generator,CZ0 0,solar-hsat,2039.79937
Generator,CZ0 0,solid biomass,10000.0
Generator,CZ0 0,straw,3437220.56642
Generator,CZ0 0,unsustainable biogas,4460844.9006
Generator,CZ0 0,unsustainable bioliquids,2145647.0772
Generator,CZ0 0,unsustainable solid biomass,25876939.3972
Generator,CZ0 0,urban central heat vent,0.33178
Generator,CZ0 0,urban central solar thermal,0.1703
Generator,CZ0 0,urban decentral heat vent,1.15037
Generator,CZ0 0,urban decentral solar thermal,0.02806
Generator,DE0 0,Offshore Wind (AC),2283.0
Generator,DE0 0,Offshore Wind (DC),1565.12652
Generator,DE0 0,Offshore Wind (Floating),0.00439
Generator,DE0 0,Onshore Wind,22493.07954
Generator,DE0 0,Run of River,74.537
Generator,DE0 0,Solar,2615.00598
Generator,DE0 0,forest residues,5809098.27773
Generator,DE0 0,gas,51474.12757
Generator,DE0 0,industry wood,4730402.69247
Generator,DE0 0,landscape care,312739.63782
Generator,DE0 0,manure and slurry,3073228.01663
Generator,DE0 0,municipal solid waste,1750256.50518
Generator,DE0 0,rural solar thermal,0.01775
Generator,DE0 0,sewage sludge,125488.73844
Generator,DE0 0,solar-hsat,5525.47545
Generator,DE0 0,solid biomass,10000.0
Generator,DE0 0,straw,5300559.49615
Generator,DE0 0,unsustainable biogas,12420107.7833
Generator,DE0 0,unsustainable bioliquids,5854314.8773
Generator,DE0 0,unsustainable solid biomass,20886297.85901
Generator,DE0 0,urban central heat vent,2.62776
Generator,DE0 0,urban central solar thermal,0.07036
Generator,DE0 0,urban decentral heat vent,1.00347
Generator,DE0 0,urban decentral solar thermal,0.01966
Generator,DE0 1,Onshore Wind,3376.01298
Generator,DE0 1,Run of River,234.21477
Generator,DE0 1,Solar,3804.83278
Generator,DE0 1,forest residues,4696774.06384
Generator,DE0 1,industry wood,3698856.64394
Generator,DE0 1,landscape care,244469.05519
Generator,DE0 1,manure and slurry,805739.45647
Generator,DE0 1,municipal solid waste,972168.11705
Generator,DE0 1,rural solar thermal,0.02083
Generator,DE0 1,sewage sludge,69387.68923
Generator,DE0 1,solar-hsat,9071.06868
Generator,DE0 1,solid biomass,10000.0
Generator,DE0 1,straw,2613906.89604
Generator,DE0 1,unsustainable biogas,7513976.39979
Generator,DE0 1,unsustainable bioliquids,3541771.50411
Generator,DE0 1,unsustainable solid biomass,12639842.84552
Generator,DE0 1,urban central heat vent,888.34126
Generator,DE0 1,urban central solar thermal,0.08238
Generator,DE0 1,urban decentral heat vent,0.99926
Generator,DE0 1,urban decentral solar thermal,0.02473
Generator,DE0 2,Offshore Wind (AC),5575.0
Generator,DE0 2,Offshore Wind (DC),19876.52473
Generator,DE0 2,Offshore Wind (Floating),0.00602
Generator,DE0 2,Onshore Wind,7074.02071
Generator,DE0 2,Run of River,428.368
Generator,DE0 2,Solar,1618.3159
Generator,DE0 2,forest residues,4107215.11211
Generator,DE0 2,gas,85558.05889
Generator,DE0 2,industry wood,3694916.18201
Generator,DE0 2,landscape care,244462.22479
Generator,DE0 2,manure and slurry,2137976.82833
