component,location,carrier,0
StorageUnit,AL0 0,Reservoir & Dam,0.4898445909978115
StorageUnit,AT0 0,Pumped Hydro Storage,0.5463713216299285
StorageUnit,AT0 0,Reservoir & Dam,0.4645727018781931
StorageUnit,AT0 0,rural heat vent,0.01917780126356228
StorageUnit,BA0 0,Pumped Hydro Storage,0.0012662954545454546
StorageUnit,BA0 0,Reservoir & Dam,0.31892767972934877
StorageUnit,BE0 0,Pumped Hydro Storage,0.22815981651376147
StorageUnit,BE0 0,Reservoir & Dam,0.5172676427702665
StorageUnit,BE0 0,rural heat vent,0.01917790286686739
StorageUnit,BG0 0,Pumped Hydro Storage,0.5411356597222222
StorageUnit,BG0 0,Reservoir & Dam,0.15607801510539493
StorageUnit,BG0 0,rural heat vent,0.019178120014725734
StorageUnit,CH0 0,Pumped Hydro Storage,0.6095041203708236
StorageUnit,CH0 0,Reservoir & Dam,0.25890125343434506
StorageUnit,CH0 0,rural heat vent,0.014913571613831405
StorageUnit,CZ0 0,Pumped Hydro Storage,0.10180601510855805
StorageUnit,CZ0 0,Reservoir & Dam,0.33220360843699237
StorageUnit,CZ0 0,rural heat vent,0.019178344183309427
StorageUnit,DE0 0,Pumped Hydro Storage,0.23160390625
StorageUnit,DE0 0,rural heat vent,0.01917797422795518
StorageUnit,DE0 1,Pumped Hydro Storage,0.3658032653419332
StorageUnit,DE0 1,rural heat vent,0.019178519887316742
StorageUnit,DE0 2,Pumped Hydro Storage,0.18664594192464604
StorageUnit,DE0 2,rural heat vent,0.019178515796019792
StorageUnit,DE0 3,Pumped Hydro Storage,0.3114436722279799
StorageUnit,DE0 3,rural heat vent,0.019177855972358073
StorageUnit,DE0 4,Pumped Hydro Storage,0.33048191884092115
StorageUnit,DE0 4,rural heat vent,0.019177833380829058
StorageUnit,DE0 5,Pumped Hydro Storage,0.21971932386477294
StorageUnit,DE0 5,rural heat vent,0.01917839233966556
StorageUnit,DK0 0,rural heat vent,0.019178091054888012
StorageUnit,DK1 0,rural heat vent,0.019178024238837462
StorageUnit,EE0 0,rural heat vent,0.01917846872429713
StorageUnit,ES0 0,Pumped Hydro Storage,0.6135177045616701
StorageUnit,ES0 0,Reservoir & Dam,0.16576054996719414
StorageUnit,ES0 0,rural heat vent,0.019178019507177783
StorageUnit,ES6 0,Pumped Hydro Storage,0.45013061060915177
StorageUnit,ES6 0,Reservoir & Dam,0.16575984717547532
StorageUnit,ES6 0,rural heat vent,0.019178068428151947
StorageUnit,FI1 0,Reservoir & Dam,0.5899980017079419
StorageUnit,FI1 0,rural heat vent,0.019177335742057103
StorageUnit,FR0 0,Pumped Hydro Storage,0.28035471534653467
StorageUnit,FR0 0,rural heat vent,0.019178253382636873
StorageUnit,FR0 1,Pumped Hydro Storage,0.5463059418926239
StorageUnit,FR0 1,Reservoir & Dam,0.36865906723017844
StorageUnit,FR0 1,rural heat vent,0.0017005877442651798
StorageUnit,FR0 2,Pumped Hydro Storage,0.6160810640608034
StorageUnit,FR0 2,Reservoir & Dam,0.368531710652599
StorageUnit,FR0 2,rural heat vent,0.019178313682342765
StorageUnit,FR0 3,rural heat vent,0.019177943692064537
StorageUnit,FR0 4,Reservoir & Dam,0.3686543165467626
StorageUnit,FR0 4,rural heat vent,0.019178082119666855
StorageUnit,FR5 0,Reservoir & Dam,0.3686549629087583
StorageUnit,FR5 0,rural heat vent,0.019178024566717147
StorageUnit,GB2 0,Reservoir & Dam,0.13884037735849056
StorageUnit,GB2 0,rural heat vent,0.01917814164825579
StorageUnit,GB2 1,rural heat vent,0.019177966496084775
StorageUnit,GB3 0,Pumped Hydro Storage,0.31822938636363635
StorageUnit,GB3 0,Reservoir & Dam,0.13884267605633802
StorageUnit,GB3 0,rural heat vent,0.01917811468698761
StorageUnit,GR0 0,Pumped Hydro Storage,0.42124319027181684
StorageUnit,GR0 0,Reservoir & Dam,0.18069342946219796
StorageUnit,GR0 0,rural heat vent,0.01917818626172803
StorageUnit,HR0 0,Pumped Hydro Storage,0.5452537240537241
StorageUnit,HR0 0,Reservoir & Dam,0.48726131700256553
StorageUnit,HR0 0,rural heat vent,0.002433460755787324
StorageUnit,HU0 0,Reservoir & Dam,0.4664064285714286
StorageUnit,HU0 0,rural heat vent,0.019178356227871424
StorageUnit,IE3 0,Pumped Hydro Storage,0.1911236224489796
StorageUnit,IE3 0,Reservoir & Dam,0.42257
StorageUnit,IE3 0,rural heat vent,0.01917806634579514
StorageUnit,IT0 0,Pumped Hydro Storage,0.5933616986644408
StorageUnit,IT0 0,Reservoir & Dam,0.33543292181069956
StorageUnit,IT0 0,rural heat vent,0.019178085760772852
StorageUnit,IT0 1,Pumped Hydro Storage,0.5659167223809234
StorageUnit,IT0 1,Reservoir & Dam,0.33543356455516854
StorageUnit,IT0 1,rural heat vent,0.019177934527582183
StorageUnit,IT4 0,Pumped Hydro Storage,0.6001107083333334
StorageUnit,IT4 0,Reservoir & Dam,0.3354274358974359
StorageUnit,IT4 0,rural heat vent,0.019178129744184067
StorageUnit,LT0 0,Pumped Hydro Storage,0.31528795555555555
StorageUnit,LT0 0,rural heat vent,0.019177859940495503
StorageUnit,LU0 0,Pumped Hydro Storage,0.2322046058732612
StorageUnit,LU0 0,rural heat vent,0.019178132749631285
StorageUnit,LV0 0,rural heat vent,0.019178285906273147
StorageUnit,ME0 0,Pumped Hydro Storage,0.335580651465798
StorageUnit,ME0 0,Reservoir & Dam,0.5580171381692423
StorageUnit,MK0 0,Reservoir & Dam,0.29277301886792456
StorageUnit,NL0 0,rural heat vent,0.019177716341779803
StorageUnit,NO1 0,Pumped Hydro Storage,0.0751606914212548
StorageUnit,NO1 0,Reservoir & Dam,0.4481812400089723
StorageUnit,NO1 0,rural heat vent,0.01917961761472636
StorageUnit,PL0 0,Pumped Hydro Storage,0.2982715620094192
StorageUnit,PL0 0,Reservoir & Dam,0.7791576934925379
StorageUnit,PL0 0,rural heat vent,0.019177966621671372
StorageUnit,PT0 0,Pumped Hydro Storage,0.5519028243691052
StorageUnit,PT0 0,Reservoir & Dam,0.33075786613765734
StorageUnit,PT0 0,rural heat vent,0.019178052522335527
StorageUnit,RO0 0,Reservoir & Dam,0.2413940457624148
