cost,component,location,carrier,0
capital,Generator,AL0 0,Offshore Wind (AC),2255.27874
capital,Generator,AL0 0,Offshore Wind (Floating),2446.48417
capital,Generator,AL0 0,Onshore Wind,27078461.75004
capital,Generator,AL0 0,Run of River,14853811.92575
capital,Generator,AL0 0,Solar,15419829.42927
capital,Generator,AL0 0,rural solar thermal,742.28982
capital,Generator,AL0 0,solar-hsat,250283919.3645
capital,Generator,AL0 0,urban central solar thermal,3062.85031
capital,Generator,AL0 0,urban decentral solar thermal,776.44639
capital,Generator,AT0 0,Onshore Wind,374353949.91227
capital,Generator,AT0 0,Run of River,1376313648.03682
capital,Generator,AT0 0,Solar,20184668.74289
capital,Generator,AT0 0,rural solar thermal,601.64941
capital,Generator,AT0 0,solar-hsat,1619363724.65991
capital,Generator,AT0 0,urban central solar thermal,1605.86721
capital,Generator,AT0 0,urban decentral solar thermal,662.04902
capital,Generator,BA0 0,Offshore Wind (AC),1023.4684
capital,Generator,BA0 0,Offshore Wind (Floating),937.81198
capital,Generator,BA0 0,Onshore Wind,50338174.68861
capital,Generator,BA0 0,Solar,13985291.1757
capital,Generator,BA0 0,rural solar thermal,660.95761
capital,Generator,BA0 0,solar-hsat,245603003.10717
capital,Generator,BA0 0,urban central solar thermal,2646.07617
capital,Generator,BA0 0,urban decentral solar thermal,665.36648
capital,Generator,BE0 0,Offshore Wind (AC),460339539.53252
capital,Generator,BE0 0,Offshore Wind (DC),42238.65521
capital,Generator,BE0 0,Offshore Wind (Floating),1820.76798
capital,Generator,BE0 0,Onshore Wind,420899593.03674
capital,Generator,BE0 0,Run of River,18186779.19648
capital,Generator,BE0 0,Solar,25347126.59563
capital,Generator,BE0 0,rural solar thermal,73.72114
capital,Generator,BE0 0,solar-hsat,9614.61595
capital,Generator,BE0 0,urban central solar thermal,1025.41473
capital,Generator,BE0 0,urban decentral solar thermal,458.55782
capital,Generator,BG0 0,Offshore Wind (AC),2775.79377
capital,Generator,BG0 0,Offshore Wind (DC),2539.67479
capital,Generator,BG0 0,Offshore Wind (Floating),3145.75146
capital,Generator,BG0 0,Onshore Wind,70357785.50365
capital,Generator,BG0 0,Run of River,34022009.05814
capital,Generator,BG0 0,Solar,125928927.25014
capital,Generator,BG0 0,rural solar thermal,800.41497
capital,Generator,BG0 0,solar-hsat,512589443.01263
capital,Generator,BG0 0,urban central solar thermal,1914.66534
capital,Generator,BG0 0,urban decentral solar thermal,847.63172
capital,Generator,CH0 0,Onshore Wind,6364630.64222
capital,Generator,CH0 0,Run of River,1295123214.9052
capital,Generator,CH0 0,Solar,5068609.10034
capital,Generator,CH0 0,rural solar thermal,304.24462
capital,Generator,CH0 0,solar-hsat,1772969673.10359
capital,Generator,CH0 0,urban central solar thermal,1612.69608
capital,Generator,CH0 0,urban decentral solar thermal,306.44036
capital,Generator,CZ0 0,Onshore Wind,16200990.84676
capital,Generator,CZ0 0,Run of River,12396579.18494
capital,Generator,CZ0 0,Solar,68150673.71064
capital,Generator,CZ0 0,rural solar thermal,446.75735
capital,Generator,CZ0 0,solar-hsat,168606.59104
capital,Generator,CZ0 0,urban central solar thermal,1345.00702
capital,Generator,CZ0 0,urban decentral solar thermal,586.18206
capital,Generator,DE0 0,Offshore Wind (AC),464757892.81506
capital,Generator,DE0 0,Offshore Wind (DC),359312109.20868
capital,Generator,DE0 0,Offshore Wind (Floating),1728.33288
capital,Generator,DE0 0,Onshore Wind,1482255744.08864
capital,Generator,DE0 0,Run of River,22970095.01057
capital,Generator,DE0 0,Solar,136919276.80488
capital,Generator,DE0 0,rural solar thermal,424.08752
capital,Generator,DE0 0,solar-hsat,11818.19805
capital,Generator,DE0 0,urban central solar thermal,1044.64875
capital,Generator,DE0 0,urban decentral solar thermal,481.67557
capital,Generator,DE0 1,Onshore Wind,390670465.03011
capital,Generator,DE0 1,Run of River,72178052.77618
capital,Generator,DE0 1,Solar,199216431.93755
capital,Generator,DE0 1,rural solar thermal,459.02262
capital,Generator,DE0 1,solar-hsat,52822.7123
capital,Generator,DE0 1,urban central solar thermal,1108.74178
capital,Generator,DE0 1,urban decentral solar thermal,552.03449
capital,Generator,DE0 2,Offshore Wind (AC),1156810252.44729
capital,Generator,DE0 2,Offshore Wind (DC),1844716692.80565
capital,Generator,DE0 2,Offshore Wind (Floating),2262.03848
capital,Generator,DE0 2,Onshore Wind,818602818.51135
capital,Generator,DE0 2,Run of River,132010325.87154
capital,Generator,DE0 2,Solar,84732811.78471
capital,Generator,DE0 2,rural solar thermal,315.70025
capital,Generator,DE0 2,solar-hsat,11313.30872
capital,Generator,DE0 2,urban central solar thermal,1079.28855
capital,Generator,DE0 2,urban decentral solar thermal,460.56007
capital,Generator,DE0 3,Onshore Wind,52768312.02966
capital,Generator,DE0 3,Run of River,940688192.41467
capital,Generator,DE0 3,Solar,232333244.38311
capital,Generator,DE0 3,rural solar thermal,559.97162
capital,Generator,DE0 3,solar-hsat,958251678.89263
capital,Generator,DE0 3,urban central solar thermal,1365.43115
capital,Generator,DE0 3,urban decentral solar thermal,617.97104
capital,Generator,DE0 4,Onshore Wind,332000372.53493
capital,Generator,DE0 4,Run of River,269690009.68602
capital,Generator,DE0 4,Solar,115970268.66921
capital,Generator,DE0 4,rural solar thermal,433.44749
capital,Generator,DE0 4,solar-hsat,119175.33927
capital,Generator,DE0 4,urban central solar thermal,1378.72356
capital,Generator,DE0 4,urban decentral solar thermal,557.45344
capital,Generator,DE0 5,Offshore Wind (AC),367603935.28088
capital,Generator,DE0 5,Offshore Wind (DC),57938442.64044
capital,Generator,DE0 5,Offshore Wind (Floating),1817.09225
capital,Generator,DE0 5,Onshore Wind,1468254626.31408
capital,Generator,DE0 5,Run of River,29117199.61962
capital,Generator,DE0 5,Solar,566939386.52382
capital,Generator,DE0 5,rural solar thermal,532.87469
capital,Generator,DE0 5,solar-hsat,45399.58574
capital,Generator,DE0 5,urban central solar thermal,1110.65006
capital,Generator,DE0 5,urban decentral solar thermal,618.04106
capital,Generator,DK0 0,Offshore Wind (AC),329701073.4388
capital,Generator,DK0 0,Offshore Wind (DC),9042.77596
capital,Generator,DK0 0,Offshore Wind (Floating),3758.65039
capital,Generator,DK0 0,Onshore Wind,1889924396.08116
capital,Generator,DK0 0,Solar,85748638.78607
capital,Generator,DK0 0,rural solar thermal,129.5524
capital,Generator,DK0 0,solar-hsat,5381.43107
capital,Generator,DK0 0,urban central solar thermal,843.53874
capital,Generator,DK0 0,urban decentral solar thermal,376.54376
capital,Generator,DK1 0,Offshore Wind (AC),220813653.43496
capital,Generator,DK1 0,Offshore Wind (DC),2885.4694
capital,Generator,DK1 0,Offshore Wind (Floating),3040.56619
capital,Generator,DK1 0,Onshore Wind,656669855.685
capital,Generator,DK1 0,Solar,28221577.13751
capital,Generator,DK1 0,rural solar thermal,107.76183
capital,Generator,DK1 0,solar-hsat,5535.29563
capital,Generator,DK1 0,urban central solar thermal,906.63008
capital,Generator,DK1 0,urban decentral solar thermal,425.30886
capital,Generator,EE0 0,Offshore Wind (AC),12479.0377
capital,Generator,EE0 0,Offshore Wind (DC),8163.92866
capital,Generator,EE0 0,Offshore Wind (Floating),3921.56489
capital,Generator,EE0 0,Onshore Wind,478713346.11238
capital,Generator,EE0 0,Solar,23011844.84824
capital,Generator,EE0 0,rural solar thermal,444.32057
capital,Generator,EE0 0,solar-hsat,11373.83684
capital,Generator,EE0 0,urban central solar thermal,920.65335
capital,Generator,EE0 0,urban decentral solar thermal,493.79486
capital,Generator,ES0 0,Offshore Wind (AC),4025808.15804
capital,Generator,ES0 0,Offshore Wind (Floating),3248.4049
