component,carrier,location,bus_carrier,0
Generator,Offshore Wind (AC),AL0 0,AC,8.93323
Generator,Offshore Wind (AC),BA0 0,AC,2.43071
Generator,Offshore Wind (AC),BE0 0,AC,10024304.46008
Generator,Offshore Wind (AC),BG0 0,AC,27.25109
Generator,Offshore Wind (AC),DE0 0,AC,9660378.30858
Generator,Offshore Wind (AC),DE0 2,AC,26149623.75773
Generator,Offshore Wind (AC),DE0 5,AC,9074636.75141
Generator,Offshore Wind (AC),DK0 0,AC,6713618.49348
Generator,Offshore Wind (AC),DK1 0,AC,4177420.275
Generator,Offshore Wind (AC),EE0 0,AC,285.8249
Generator,Offshore Wind (AC),ES0 0,AC,50692.70994
Generator,Offshore Wind (AC),ES6 0,AC,9.91285
Generator,Offshore Wind (AC),FI1 0,AC,665.57232
Generator,Offshore Wind (AC),FR0 0,AC,3999103.91922
Generator,Offshore Wind (AC),FR0 1,AC,355410.23945
Generator,Offshore Wind (AC),FR0 2,AC,54.86627
Generator,Offshore Wind (AC),FR0 3,AC,5629465.35635
Generator,Offshore Wind (AC),FR5 0,AC,7.11797
Generator,Offshore Wind (AC),GB2 0,AC,34492647.77253
Generator,Offshore Wind (AC),GB2 1,AC,70357029.83325
Generator,Offshore Wind (AC),GB3 0,AC,799.71727
Generator,Offshore Wind (AC),GR0 0,AC,27.56186
Generator,Offshore Wind (AC),HR0 0,AC,20.9639
Generator,Offshore Wind (AC),IE3 0,AC,109391.44602
Generator,Offshore Wind (AC),IT0 0,AC,54697.55695
Generator,Offshore Wind (AC),IT0 1,AC,17.01451
Generator,Offshore Wind (AC),IT4 0,AC,29.29514
Generator,Offshore Wind (AC),LT0 0,AC,1105.50165
Generator,Offshore Wind (AC),LV0 0,AC,343.88574
Generator,Offshore Wind (AC),ME0 0,AC,2.57572
Generator,Offshore Wind (AC),NL0 0,AC,25373332.43525
Generator,Offshore Wind (AC),NO1 0,AC,517287.43437
Generator,Offshore Wind (AC),PL0 0,AC,22063451.05292
Generator,Offshore Wind (AC),PT0 0,AC,79677.16039
Generator,Offshore Wind (AC),RO0 0,AC,132.60377
Generator,Offshore Wind (AC),SE1 0,AC,745989.83462
Generator,Offshore Wind (AC),SI0 0,AC,3.68225
Generator,Offshore Wind (DC),BE0 0,AC,4097106.87552
Generator,Offshore Wind (DC),BG0 0,AC,32.10916
Generator,Offshore Wind (DC),DE0 0,AC,8079789.01644
Generator,Offshore Wind (DC),DE0 2,AC,104262060.1667
Generator,Offshore Wind (DC),DE0 5,AC,1261491.55003
Generator,Offshore Wind (DC),DK0 0,AC,214.23288
Generator,Offshore Wind (DC),DK1 0,AC,32.04752
Generator,Offshore Wind (DC),EE0 0,AC,162.70202
Generator,Offshore Wind (DC),FI1 0,AC,8079324.66232
Generator,Offshore Wind (DC),FR0 0,AC,9365630.57349
Generator,Offshore Wind (DC),FR0 2,AC,38.56709
Generator,Offshore Wind (DC),FR0 3,AC,901.63853
Generator,Offshore Wind (DC),GB2 0,AC,32498720.51293
Generator,Offshore Wind (DC),GB2 1,AC,370.49538
Generator,Offshore Wind (DC),GB3 0,AC,333.72598
Generator,Offshore Wind (DC),GR0 0,AC,86.45082
Generator,Offshore Wind (DC),HR0 0,AC,24.54155
Generator,Offshore Wind (DC),IE3 0,AC,5371659.19405
Generator,Offshore Wind (DC),IT0 0,AC,24.67639
Generator,Offshore Wind (DC),IT0 1,AC,15.01281
Generator,Offshore Wind (DC),LT0 0,AC,6556503.09374
Generator,Offshore Wind (DC),LV0 0,AC,599.03403
Generator,Offshore Wind (DC),NL0 0,AC,2355.98049
Generator,Offshore Wind (DC),NO1 0,AC,408.23895
Generator,Offshore Wind (DC),PL0 0,AC,27853994.87262
Generator,Offshore Wind (DC),RO0 0,AC,134.36301
Generator,Offshore Wind (DC),SE1 0,AC,1451.9302
Generator,Offshore Wind (Floating),AL0 0,AC,10.05301
Generator,Offshore Wind (Floating),BA0 0,AC,0.88276
Generator,Offshore Wind (Floating),BE0 0,AC,9.52806
Generator,Offshore Wind (Floating),BG0 0,AC,20.26977
Generator,Offshore Wind (Floating),DE0 0,AC,7.85082
Generator,Offshore Wind (Floating),DE0 2,AC,13.21195
Generator,Offshore Wind (Floating),DE0 5,AC,9.95251
Generator,Offshore Wind (Floating),DK0 0,AC,34.81181
Generator,Offshore Wind (Floating),DK1 0,AC,21.60072
Generator,Offshore Wind (Floating),EE0 0,AC,34.85762
Generator,Offshore Wind (Floating),ES0 0,AC,20.01481
Generator,Offshore Wind (Floating),ES6 0,AC,10.43981
Generator,Offshore Wind (Floating),FI1 0,AC,43.80457
Generator,Offshore Wind (Floating),FR0 0,AC,10.15651
Generator,Offshore Wind (Floating),FR0 1,AC,36.88029
Generator,Offshore Wind (Floating),FR0 2,AC,21.48677
Generator,Offshore Wind (Floating),FR0 3,AC,40.71129
Generator,Offshore Wind (Floating),FR5 0,AC,9.47668
Generator,Offshore Wind (Floating),GB2 0,AC,53.36448
Generator,Offshore Wind (Floating),GB2 1,AC,38.52943
Generator,Offshore Wind (Floating),GB3 0,AC,49.93216
Generator,Offshore Wind (Floating),GR0 0,AC,24.76754
Generator,Offshore Wind (Floating),HR0 0,AC,10.27959
Generator,Offshore Wind (Floating),IE3 0,AC,48.68639
Generator,Offshore Wind (Floating),IT0 0,AC,13.27552
Generator,Offshore Wind (Floating),IT0 1,AC,8.89332
Generator,Offshore Wind (Floating),IT4 0,AC,16.14183
Generator,Offshore Wind (Floating),LT0 0,AC,26.07172
Generator,Offshore Wind (Floating),LV0 0,AC,44.62976
Generator,Offshore Wind (Floating),ME0 0,AC,7.36154
Generator,Offshore Wind (Floating),NL0 0,AC,10.71674
Generator,Offshore Wind (Floating),NO1 0,AC,43.5452
Generator,Offshore Wind (Floating),PL0 0,AC,56.25752
Generator,Offshore Wind (Floating),PT0 0,AC,28.72698
Generator,Offshore Wind (Floating),RO0 0,AC,24.96596
Generator,Offshore Wind (Floating),SE1 0,AC,40.40099
Generator,Offshore Wind (Floating),SI0 0,AC,1.2098
Generator,Onshore Wind,AL0 0,AC,88790.86424
Generator,Onshore Wind,AT0 0,AC,3857268.44799
Generator,Onshore Wind,BA0 0,AC,175449.95252
Generator,Onshore Wind,BE0 0,AC,20203189.37162
Generator,Onshore Wind,BG0 0,AC,645722.54656
Generator,Onshore Wind,CH0 0,AC,22853.98434
Generator,Onshore Wind,CZ0 0,AC,229289.63548
Generator,Onshore Wind,DE0 0,AC,32622405.17806
