,0
AC,59.684004589171195
EV battery,70.03226156984488
H2,110.20517551847736
NH3,154.2113200357901
agriculture machinery oil,82.83652693386799
battery,66.44786677183022
biogas,62.24428798729276
co2,-99.99077195413344
co2 sequestered,-30.077378567076597
co2 stored,-19.11154294235453
coal,9.564973356333331
coal for industry,43.18220634566392
gas,70.08406551278479
gas for industry,89.85739998981109
hbi,278.74303052570724
heat100-200 industry,36.0800269193357
heat200-500 industry,48.009336929183604
heat<100 industry,37.44204452139113
heat>500 industry,90.41022693037641
home battery,65.7189070340299
kerosene for aviation,82.83649894077459
land transport oil,82.83656630127622
lignite,3.3086272559666665
low voltage,74.45867659969294
methanol,146.58490279650692
municipal solid waste,-0.019915610862914025
naphtha for industry,57.12878597773212
non-sequestered HVC,-25.717465673627242
oil,57.11876834675943
oil primary,52.92159465166667
rural heat,88.84740983221162
shipping methanol,171.40384297134824
shipping oil,82.83650464334855
solid biomass,30.60095595123634
solid biomass for industry,29.70704384936853
solid biomass import,54.010326461697076
steel,401.18633278293055
steel emission,-100.00060384388549
unsustainable bioliquids,81.68679968357934
uranium,3.4218769966620397
urban central heat,48.39619879933268
urban decentral heat,110.25155782593808
