cluster,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
opt,,,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1
planning_horizon,,,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
tyndp_scenario,,,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free
wiggle,,,0,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,4250,4500
component,location,carrier,,,,,,,,,,,,,,,,,,,
Generator,AL0 0,Offshore Wind (AC),0.01068,0.01279,0.01105,0.01323,0.01868,0.01587,0.01639,0.01505,0.01479,0.01408,0.01224,0.01088,0.01109,0.00994,0.01053,0.00837,0.0093,0.01119,0.01174
Generator,AL0 0,Offshore Wind (Floating),0.01016,0.01102,0.00955,0.01076,0.01216,0.01052,0.01075,0.0103,0.01022,0.00961,0.00861,0.00805,0.00834,0.00836,0.00877,0.00705,0.00697,0.00827,0.00832
Generator,AL0 0,Onshore Wind,234.00019,234.00093,234.00014,234.00001,234.00128,234.00066,234.00162,234.00104,234.00068,234.00089,234.00047,234.00071,234.00014,234.00015,234.0005,234.00024,234.00011,234.0002,234.00035
Generator,AL0 0,Run of River,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2
Generator,AL0 0,Solar,294.50055,294.50194,294.5014,294.50155,294.5057,294.50394,294.50356,294.50222,294.50217,294.5026,294.50182,294.50104,294.5015,294.50118,294.50189,294.50201,294.50161,294.50154,294.50301
Generator,AL0 0,forest residues,435064.11971,435064.11971,435064.11971,435064.11971,435064.11971,435064.11971,435064.11971,435064.11971,435064.11971,435064.11971,435064.11971,435064.11971,435064.11971,435064.11971,435064.11971,435064.11971,435064.11971,435064.11971,435064.11971
Generator,AL0 0,industry wood,495433.59074,495433.59074,495433.59074,495433.59074,495433.59074,495433.59074,495433.59074,495433.59074,495433.59074,495433.59074,495433.59074,495433.59074,495433.59074,495433.59074,495433.59074,495433.59074,495433.59074,495433.59074,495433.59074
Generator,AL0 0,landscape care,73.99645,73.99645,73.99645,73.99645,73.99645,73.99645,73.99645,73.99645,73.99645,73.99645,73.99645,73.99645,73.99645,73.99645,73.99645,73.99645,73.99645,73.99645,73.99645
Generator,AL0 0,manure and slurry,165088.30118,165088.30118,165088.30118,165088.30118,165088.30118,165088.30118,165088.30118,165088.30118,165088.30118,165088.30118,165088.30118,165088.30118,165088.30118,165088.30118,165088.30118,165088.30118,165088.30118,165088.30118,165088.30118
Generator,AL0 0,municipal solid waste,135739.47211,135739.47211,135739.47211,135739.47211,135739.47211,135739.47211,135739.47211,135739.47211,135739.47211,135739.47211,135739.47211,135739.47211,135739.47211,135739.47211,135739.47211,135739.47211,135739.47211,135739.47211,135739.47211
Generator,AL0 0,rural heat vent,1.90296,1.71086,1.89241,1.69732,1.50882,1.17761,1.04306,1.42261,1.16989,1.65751,1.90774,1.57016,2.19899,1.70283,1.55769,0.27016,0.08327,0.03049,0.00687
Generator,AL0 0,rural solar thermal,0.0327,0.04066,0.04219,0.06729,0.09231,0.08988,0.08673,0.0502,0.04638,0.0423,0.03693,0.0336,0.03263,0.0309,0.03163,0.02471,0.02381,0.02728,0.02578
Generator,AL0 0,sewage sludge,2751.78087,2751.78087,2751.78087,2751.78087,2751.78087,2751.78087,2751.78087,2751.78087,2751.78087,2751.78087,2751.78087,2751.78087,2751.78087,2751.78087,2751.78087,2751.78087,2751.78087,2751.78087,2751.78087
Generator,AL0 0,solar-hsat,7208.01363,6438.00081,6000.36629,5972.08174,5971.42501,6093.46406,5687.75172,5500.96968,4754.73767,4290.1148,4145.70837,4103.08351,4168.23284,4423.09842,4410.63627,4401.54991,4304.46616,4273.59286,4482.02378
Generator,AL0 0,solid biomass,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Generator,AL0 0,straw,137150.35218,137150.35218,137150.35218,137150.35218,137150.35218,137150.35218,137150.35218,137150.35218,137150.35218,137150.35218,137150.35218,137150.35218,137150.35218,137150.35218,137150.35218,137150.35218,137150.35218,137150.35218,137150.35218
Generator,AL0 0,unsustainable solid biomass,1238151.0274,1238151.0274,1238151.0274,1238151.0274,1238151.0274,1238151.0274,1238151.0274,1238151.0274,1238151.0274,1238151.0274,1238151.0274,1238151.0274,1238151.0274,1238151.0274,1238151.0274,1238151.0274,1238151.0274,1238151.0274,1238151.0274
Generator,AL0 0,urban central heat vent,61.69288,57.07715,51.0869,44.25834,41.67365,44.96186,52.4672,49.08593,42.56153,38.51815,18.1788,0.10606,0.1593,0.17876,0.06733,0.03535,0.01551,0.01268,0.01308
Generator,AL0 0,urban central solar thermal,0.14618,0.16523,0.16877,0.34142,0.77871,0.56508,0.35857,0.20675,0.27974,0.35093,0.43299,0.51996,0.35175,0.16138,0.17173,0.13127,0.14013,0.19073,0.15741
Generator,AL0 0,urban decentral heat vent,2.27207,2.08807,2.30077,1.99589,1.65561,1.28825,1.02432,1.38556,1.17876,1.62407,1.91839,1.54302,2.14776,1.66584,1.49237,0.25011,0.08249,0.02995,0.00685
Generator,AL0 0,urban decentral solar thermal,0.03369,0.04237,0.04368,0.06934,0.09462,0.09338,0.08268,0.05102,0.04717,0.04302,0.03763,0.03434,0.0336,0.03203,0.0328,0.02574,0.02487,0.02853,0.02711
Generator,AT0 0,Onshore Wind,3235.00422,3235.00372,3235.00271,3235.01617,3235.07196,3235.03833,3235.00342,3235.01366,3235.0116,3235.01477,3235.01048,3235.02448,3235.00704,3235.00905,3235.02713,3235.00056,3235.00349,3235.00281,3235.00472
Generator,AT0 0,Run of River,4466.08037,4466.08037,4466.08037,4466.08037,4466.08037,4466.08037,4466.08037,4466.08037,4466.08037,4466.08037,4466.08037,4466.08037,4466.08037,4466.08037,4466.08037,4466.08037,4466.08037,4466.08037,4466.08037
Generator,AT0 0,Solar,385.50276,385.50408,385.50207,385.50477,385.51358,385.50957,385.50793,385.50535,385.50357,385.50449,385.50201,385.50392,385.50284,385.50169,385.50314,385.50188,385.50582,385.50466,385.50473
Generator,AT0 0,forest residues,9373456.5105,9373456.5105,9373456.5105,9373456.5105,9373456.5105,9373456.5105,9373456.5105,9373456.5105,9373456.5105,9373456.5105,9373456.5105,9373456.5105,9373456.5105,9373456.5105,9373456.5105,9373456.5105,9373456.5105,9373456.5105,9373456.5105
Generator,AT0 0,gas,1785.95671,1785.95671,1785.95671,1785.95671,1785.95671,1785.95671,1785.95671,1785.95671,1785.95671,1785.95671,1785.95671,1785.95671,1785.95671,1785.95671,1785.95671,1785.95671,1785.95671,1785.95671,1785.95671
Generator,AT0 0,industry wood,9944957.28282,9944957.28282,9944957.28282,9944957.28282,9944957.28282,9944957.28282,9944957.28282,9944957.28282,9944957.28282,9944957.28282,9944957.28282,9944957.28282,9944957.28282,9944957.28282,9944957.28282,9944957.28282,9944957.28282,9944957.28282,9944957.28282
Generator,AT0 0,landscape care,424784.44666,424784.44666,424784.44666,424784.44666,424784.44666,424784.44666,424784.44666,424784.44666,424784.44666,424784.44666,424784.44666,424784.44666,424784.44666,424784.44666,424784.44666,424784.44666,424784.44666,424784.44666,424784.44666
Generator,AT0 0,manure and slurry,451713.81205,451713.81205,451713.81205,451713.81205,451713.81205,451713.81205,451713.81205,451713.81205,451713.81205,451713.81205,451713.81205,451713.81205,451713.81205,451713.81205,451713.81205,451713.81205,451713.81205,451713.81205,451713.81205
Generator,AT0 0,municipal solid waste,718618.41571,718618.41571,718618.41571,718618.41571,718618.41571,718618.41571,718618.41571,718618.41571,718618.41571,718618.41571,718618.41571,718618.41571,718618.41571,718618.41571,718618.41571,718618.41571,718618.41571,718618.41571,718618.41571
Generator,AT0 0,rural solar thermal,0.01814,0.02158,0.02184,0.02942,0.0327,0.02899,0.03135,0.03323,0.03557,0.03439,0.03418,0.03278,0.03179,0.02792,0.02783,0.02122,0.01964,0.02211,0.02113
Generator,AT0 0,sewage sludge,293922.44542,293922.44542,293922.44542,293922.44542,293922.44542,293922.44542,293922.44542,293922.44542,293922.44542,293922.44542,293922.44542,293922.44542,293922.44542,293922.44542,293922.44542,293922.44542,293922.44542,293922.44542,293922.44542
Generator,AT0 0,solar-hsat,46123.12411,43723.97891,42710.87431,41909.04217,41422.85545,40591.18932,39138.0988,37789.66792,37196.64731,36984.54225,36148.7706,35129.39386,33942.17082,32763.84293,31996.79698,31598.96503,29748.85055,27650.60284,23923.43198
Generator,AT0 0,solid biomass,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Generator,AT0 0,straw,2029614.73277,2029614.73277,2029614.73277,2029614.73277,2029614.73277,2029614.73277,2029614.73277,2029614.73277,2029614.73277,2029614.73277,2029614.73277,2029614.73277,2029614.73277,2029614.73277,2029614.73277,2029614.73277,2029614.73277,2029614.73277,2029614.73277
Generator,AT0 0,unsustainable biogas,1646958.027,1646958.027,1646958.027,1646958.027,1646958.027,1646958.027,1646958.027,1646958.027,1646958.027,1646958.027,1646958.027,1646958.027,1646958.027,1646958.027,1646958.027,1646958.027,1646958.027,1646958.027,1646958.027
Generator,AT0 0,unsustainable bioliquids,3052205.112,3052205.112,3052205.112,3052205.112,3052205.112,3052205.112,3052205.112,3052205.112,3052205.112,3052205.112,3052205.112,3052205.112,3052205.112,3052205.112,3052205.112,3052205.112,3052205.112,3052205.112,3052205.112
Generator,AT0 0,unsustainable solid biomass,35833933.4266,35833933.4266,35833933.4266,35833933.4266,35833933.4266,35833933.4266,35833933.4266,35833933.4266,35833933.4266,35833933.4266,35833933.4266,35833933.4266,35833933.4266,35833933.4266,35833933.4266,35833933.4266,35833933.4266,35833933.4266,35833933.4266
Generator,AT0 0,urban central heat vent,2667.01688,2863.88047,2692.742,2476.70688,2303.07362,2213.88063,2041.0708,707.19831,583.10884,508.75269,291.99386,82.23009,1.79392,0.0198,0.01935,1.67966,3.08921,0.00654,0.00766
Generator,AT0 0,urban central solar thermal,0.07327,0.08981,0.08964,0.1225,0.1612,0.14552,0.15938,0.15945,0.13599,0.12664,0.1076,0.09556,0.09389,0.0902,0.10212,0.07887,0.07793,0.1,0.09302
Generator,AT0 0,urban decentral heat vent,2.29957,2.49478,2.38576,2.16205,1.77958,1.25317,1.0737,1.47043,1.1648,1.54014,2.02938,1.49436,1.54949,1.44303,1.08125,1.361,1.41013,1.29619,0.01201
Generator,AT0 0,urban decentral solar thermal,0.04458,0.04859,0.04259,0.04512,0.04908,0.04287,0.04295,0.04033,0.0387,0.03621,0.03287,0.03047,0.03068,0.02853,0.02908,0.02255,0.02127,0.02433,0.02361
Generator,BA0 0,Offshore Wind (AC),0.00469,0.00703,0.00509,0.00695,0.00827,0.00574,0.00405,0.00639,0.00409,0.00559,0.00405,0.00415,0.00487,0.00318,0.00487,0.0031,0.00339,0.00509,0.0049
Generator,BA0 0,Offshore Wind (Floating),0.00224,0.00367,0.0026,0.00376,0.00434,0.00322,0.00239,0.00356,0.00244,0.00328,0.00261,0.00258,0.00308,0.00197,0.00319,0.002,0.00222,0.00324,0.00334
Generator,BA0 0,Onshore Wind,435.00017,435.00018,435.0002,435.00037,435.00072,435.00076,435.00334,435.00201,435.00105,435.00192,435.00061,435.00039,435.00026,435.00059,435.00101,435.0003,435.00028,435.00045,435.00038
Generator,BA0 0,Solar,267.10071,267.10234,267.10127,267.1014,267.10876,267.10556,267.1048,267.10336,267.10302,267.10254,267.10203,267.1041,267.10288,267.10132,267.10183,267.10187,267.10129,267.10346,267.10344
Generator,BA0 0,forest residues,545313.02661,545313.02661,545313.02661,545313.02661,545313.02661,545313.02661,545313.02661,545313.02661,545313.02661,545313.02661,545313.02661,545313.02661,545313.02661,545313.02661,545313.02661,545313.02661,545313.02661,545313.02661,545313.02661
